Chip,plated,Type,line,Org_Day_0,Org_Age,Date_adhered,Days_on_chip
25123ic,1,dorsal ,C57BL6,1/15/25,105,2/12/25,77
25245ic,1,dorsal ,C57BL6,1/15/25,105,2/12/25,77
25178ic,1,dorsal ,C57BL6,1/15/25,105,2/12/25,77
21985ic,1,dorsal ,C57BL6,1/15/25,105,2/12/25,77
25222ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
25244ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
23117ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
20174ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
19933ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
25155ic,1,dorsal ,C57BL6,1/15/25,105,2/17/25,72
22194a,2d,ventral,E14,7/16/24,30,,
