base_path,chip,experiment,full_path,n_stims,freq,calculated_freq,log_available,type,n_raw_files,success,num_units,proj,exp,baseline,inherited_baseline_from,drug,plated,Type,line,Org_Day_0,Org_Age,Date_adhered,Days_on_chip,organoid_id
s3://braingeneersdev/asrobbin/braindance_data/23-05-10_drug_causal/,22097,bl-3/bl-3,s3://braingeneersdev/asrobbin/braindance_data/23-05-10_drug_causal/22097/bl-3/bl-3.raw.h5,0,0.0,,False,spontaneous,1,True,,23-05-10_drug_causal,bl-3,False,nbqx_apv2,,,,,,,,,7B
s3://braingeneersdev/asrobbin/braindance_data/23-05-10_drug_causal/,22097,bl-4/bl-4,s3://braingeneersdev/asrobbin/braindance_data/23-05-10_drug_causal/22097/bl-4/bl-4.raw.h5,0,0.0,,False,spontaneous,1,True,,23-05-10_drug_causal,bl-4,False,nbqx_apv2,,,,,,,,,7B
s3://braingeneersdev/asrobbin/braindance_data/24-05-13-causal-mousepaper/,22097,BL2/BL2,s3://braingeneersdev/asrobbin/braindance_data/24-05-13-causal-mousepaper/22097/BL2/BL2.raw.h5,0,0.0,,False,spontaneous,1,True,,24-05-13-causal-mousepaper,BL2,False,,,,,,,,,,7C
s3://braingeneersdev/asrobbin/braindance_data/2024-05-06_butterfly/,23119,exp1/exp1,s3://braingeneersdev/asrobbin/braindance_data/2024-05-06_butterfly/23119/exp1/exp1.raw.h5,0,0.0,,False,spontaneous,1,True,,2024-05-06_butterfly,exp1,True,,,,,,,,,,13A
s3://braingeneersdev/asrobbin/braindance_data/24-04-18_butterfly/,p001237,exp7/exp7,s3://braingeneersdev/asrobbin/braindance_data/24-04-18_butterfly/p001237/exp7/exp7.raw.h5,0,0.0,,False,spontaneous,1,True,,24-04-18_butterfly,exp7,True,,,,,,,,,,32B
s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/,p001237,RL_k252a/RL_k252a_causal,s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/p001237/RL_k252a/RL_k252a_causal.raw.h5,600,2.0,2.0000198811390733,True,stim,16,True,,24-03-25_plasticity,RL_k252a,False,,k252a,,,,,,,,32A
s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/,p001237,RL_k252a/RL_k252a,s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/p001237/RL_k252a/RL_k252a.raw.h5,0,0.0,,False,spontaneous,16,True,,24-03-25_plasticity,RL_k252a,True,,k252a,,,,,,,,32A
s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/,p001237,exp1/exp1,s3://braingeneersdev/asrobbin/braindance_data/24-03-25_plasticity/p001237/exp1/exp1.raw.h5,0,0.0,,False,spontaneous,1,True,,24-03-25_plasticity,exp1,True,,,,,,,,,,32A
s3://braingeneersdev/asrobbin/braindance_data/25-02-2025_cp_drugs_gpu/,25178ic,drug3/drug3,s3://braingeneersdev/asrobbin/braindance_data/25-02-2025_cp_drugs_gpu/25178ic/drug3/drug3.raw.h5,0,0.0,,False,spontaneous,2,True,,25-02-2025_cp_drugs_gpu,drug3,True,,,1,dorsal ,C57BL6,1/15/25,36.0,2/12/25,77.0,25A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_13,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_13.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_14,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_14.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_27,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_27.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_10,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_10.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_2,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_2.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_9,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_9.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_46,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_46.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_45,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_45.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_42,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_42.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_43,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_43.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_17,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_17.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_31,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_31.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_1,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_1.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_8,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_8.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_22,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_22.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_16,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_16.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_24,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_24.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_3,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_3.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_34,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_34.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_5,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_5.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_44,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_44.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_32,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_32.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_11,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_11.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,True,,,,,,,,,,24A
s3://braingeneers/braindance/bee_ctrl_25-11-26/,25165hs3,bee_ctrl/bee_ctrl_recordphase_recording_25,s3://braingeneers/braindance/bee_ctrl_25-11-26/25165hs3/bee_ctrl/bee_ctrl_recordphase_recording_25.raw.h5,0,0.0,,False,spontaneous,49,True,,bee_ctrl_25-11-26,bee_ctrl,False,,,,,,,,,,24A
