proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
24-05-24,23134,2d_rl/2d_rl_cartpole_long_3,2902.0,12.0,135.0,29.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_4,2887.0,11.0,193.5,21.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_5,2177.0,13.0,145.2,27.0
24-03-25_plasticity,p001237,exp7/exp7_cartpole_long_3,2081.0,,,1.0
24-05-24,21985,dmso/dmso_cartpole_long_1,1728.0,,,1.0
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long_5,1545.0,11.0,260.3,15.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_13,1420.0,11.0,74.5,45.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F,1405.0,10.0,135.7,29.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_18,1390.0,10.0,215.1,19.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long,1354.0,13.0,220.8,16.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_14,1299.0,11.0,90.6,17.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_16,1268.0,11.0,104.4,37.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_17,1224.0,10.0,165.6,19.0
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long_4,1164.0,53.0,476.7,9.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_15,927.0,10.0,121.7,32.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_12,907.0,11.0,122.1,30.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_15,892.0,14.0,254.9,16.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_2,886.0,10.0,222.6,18.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_1,823.0,11.0,162.1,22.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_19,807.0,13.0,209.9,19.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_18,791.0,15.0,225.8,18.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_25,779.0,10.0,98.3,38.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_21,755.0,11.0,107.7,32.0
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long_1,729.0,14.0,104.2,36.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_11,693.0,11.0,151.9,25.0
